,البطولة,الفريق الاول,الفريق الثاني,ميعاد المباراة,النتيجة
0,الدوري المصري,الاتحاد السكندري,إنبي,17:30,0 - 0
1,الدوري المصري,زد,مودرن سبورت,21:00,3 - 2
2,أولمبياد باريس 2024 - كرة اليد,النرويج,المجر,10:00,26 - 25
3,أولمبياد باريس 2024 - كرة اليد,كرواتيا,ألمانيا,12:00,31 - 26
4,أولمبياد باريس 2024 - كرة اليد,إسبانيا,اليابان,15:00,37 - 33
5,أولمبياد باريس 2024 - كرة اليد,سلوفينيا,السويد,17:00,29 - 24
6,أولمبياد باريس 2024 - كرة اليد,فرنسا,مصر,20:00,26 - 26
7,أولمبياد باريس 2024 - كرة اليد,الدنمارك,الأرجنتين,22:00,38 - 27
8,أولمبياد باريس 2024 - كرة طائرة,بولندا,البرازيل,10:00,3 - 2
9,أولمبياد باريس 2024 - كرة طائرة,اليابان,الارجنتين,14:00,3 - 1
10,مباريات ودية -أندية,برشلونة ,مانشستر سيتي,03:30,2 - 2
